Test type: None
Sequence: 0  |  Address: 0  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 1  |  Address: 1  |  Set: 1  | Block: 0  |  Status: Miss
Sequence: 2  |  Address: 2  |  Set: 2  | Block: 0  |  Status: Miss
Sequence: 3  |  Address: 3  |  Set: 3  | Block: 0  |  Status: Miss
Sequence: 4  |  Address: 4  |  Set: 0  | Block: 1  |  Status: Miss
Sequence: 5  |  Address: 5  |  Set: 1  | Block: 1  |  Status: Miss
Sequence: 6  |  Address: 6  |  Set: 2  | Block: 1  |  Status: Miss
Sequence: 7  |  Address: 7  |  Set: 3  | Block: 1  |  Status: Miss
Sequence: 8  |  Address: 8  |  Set: 0  | Block: 2  |  Status: Miss
Sequence: 9  |  Address: 9  |  Set: 1  | Block: 2  |  Status: Miss
Sequence: 10  |  Address: 10  |  Set: 2  | Block: 2  |  Status: Miss
Sequence: 11  |  Address: 11  |  Set: 3  | Block: 2  |  Status: Miss
Sequence: 12  |  Address: 12  |  Set: 0  | Block: 3  |  Status: Miss
Sequence: 13  |  Address: 13  |  Set: 1  | Block: 3  |  Status: Miss
Sequence: 14  |  Address: 14  |  Set: 2  | Block: 3  |  Status: Miss
Sequence: 15  |  Address: 15  |  Set: 3  | Block: 3  |  Status: Miss
Sequence: 16  |  Address: 16  |  Set: 0  | Block: 4  |  Status: Miss
Sequence: 17  |  Address: 17  |  Set: 1  | Block: 4  |  Status: Miss
Sequence: 18  |  Address: 18  |  Set: 2  | Block: 4  |  Status: Miss
Sequence: 19  |  Address: 19  |  Set: 3  | Block: 4  |  Status: Miss
Sequence: 20  |  Address: 20  |  Set: 0  | Block: 5  |  Status: Miss
Sequence: 21  |  Address: 21  |  Set: 1  | Block: 5  |  Status: Miss
Sequence: 22  |  Address: 22  |  Set: 2  | Block: 5  |  Status: Miss
Sequence: 23  |  Address: 23  |  Set: 3  | Block: 5  |  Status: Miss
Sequence: 24  |  Address: 24  |  Set: 0  | Block: 6  |  Status: Miss
Sequence: 25  |  Address: 25  |  Set: 1  | Block: 6  |  Status: Miss
Sequence: 26  |  Address: 26  |  Set: 2  | Block: 6  |  Status: Miss
Sequence: 27  |  Address: 27  |  Set: 3  | Block: 6  |  Status: Miss
Sequence: 28  |  Address: 28  |  Set: 0  | Block: 7  |  Status: Miss
Sequence: 29  |  Address: 29  |  Set: 1  | Block: 7  |  Status: Miss
Sequence: 30  |  Address: 30  |  Set: 2  | Block: 7  |  Status: Miss
Sequence: 31  |  Address: 1  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 32  |  Address: 2  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 33  |  Address: 3  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 34  |  Address: 4  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 35  |  Address: 5  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 36  |  Address: 6  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 37  |  Address: 7  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 38  |  Address: 8  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 39  |  Address: 9  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 40  |  Address: 10  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 41  |  Address: 11  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 42  |  Address: 12  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 43  |  Address: 13  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 44  |  Address: 14  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 45  |  Address: 15  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 46  |  Address: 16  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 47  |  Address: 17  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 48  |  Address: 18  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 49  |  Address: 19  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 50  |  Address: 20  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 51  |  Address: 21  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 52  |  Address: 22  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 53  |  Address: 23  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 54  |  Address: 24  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 55  |  Address: 25  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 56  |  Address: 26  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 57  |  Address: 27  |  Set: 3  | Block: 0  |  Status: Hit
Sequence: 58  |  Address: 28  |  Set: 0  | Block: 0  |  Status: Hit
Sequence: 59  |  Address: 29  |  Set: 1  | Block: 0  |  Status: Hit
Sequence: 60  |  Address: 30  |  Set: 2  | Block: 0  |  Status: Hit
Sequence: 61  |  Address: 31  |  Set: 3  | Block: 7  |  Status: Miss
Sequence: 62  |  Address: 32  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 63  |  Address: 33  |  Set: 1  | Block: 0  |  Status: Miss
Sequence: 64  |  Address: 34  |  Set: 2  | Block: 0  |  Status: Miss
Sequence: 65  |  Address: 35  |  Set: 3  | Block: 0  |  Status: Miss
Sequence: 66  |  Address: 36  |  Set: 0  | Block: 1  |  Status: Miss
Sequence: 67  |  Address: 37  |  Set: 1  | Block: 1  |  Status: Miss
Sequence: 68  |  Address: 38  |  Set: 2  | Block: 1  |  Status: Miss
Sequence: 69  |  Address: 39  |  Set: 3  | Block: 1  |  Status: Miss
Sequence: 70  |  Address: 40  |  Set: 0  | Block: 2  |  Status: Miss
Sequence: 71  |  Address: 41  |  Set: 1  | Block: 2  |  Status: Miss
Sequence: 72  |  Address: 42  |  Set: 2  | Block: 2  |  Status: Miss
Sequence: 73  |  Address: 43  |  Set: 3  | Block: 2  |  Status: Miss
Sequence: 74  |  Address: 44  |  Set: 0  | Block: 3  |  Status: Miss
Sequence: 75  |  Address: 45  |  Set: 1  | Block: 3  |  Status: Miss
Sequence: 76  |  Address: 46  |  Set: 2  | Block: 3  |  Status: Miss
Sequence: 77  |  Address: 47  |  Set: 3  | Block: 3  |  Status: Miss
Sequence: 78  |  Address: 48  |  Set: 0  | Block: 4  |  Status: Miss
Sequence: 79  |  Address: 49  |  Set: 1  | Block: 4  |  Status: Miss
Sequence: 80  |  Address: 50  |  Set: 2  | Block: 4  |  Status: Miss
Sequence: 81  |  Address: 51  |  Set: 3  | Block: 4  |  Status: Miss
Sequence: 82  |  Address: 52  |  Set: 0  | Block: 5  |  Status: Miss
Sequence: 83  |  Address: 53  |  Set: 1  | Block: 5  |  Status: Miss
Sequence: 84  |  Address: 54  |  Set: 2  | Block: 5  |  Status: Miss
Sequence: 85  |  Address: 55  |  Set: 3  | Block: 5  |  Status: Miss
Sequence: 86  |  Address: 56  |  Set: 0  | Block: 6  |  Status: Miss
Sequence: 87  |  Address: 57  |  Set: 1  | Block: 6  |  Status: Miss
